,Unnamed: 0,ID,Industry,Name
358,358,2450,通信網路業,神腦
359,359,2451,半導體業,創見
360,360,2453,資訊服務業,凌群
361,361,2454,半導體業,聯發科
362,362,2455,通信網路業,全新
363,363,2456,電子零組件業,奇力新
364,364,2457,電子零組件業,飛宏
365,365,2458,半導體業,義隆
366,366,2459,電子通路業,敦吉
367,367,2460,電子零組件業,建通
368,368,2461,其他電子業,光群雷
369,369,2462,電子零組件業,良得電
370,370,2464,其他電子業,盟立
371,371,2465,電腦及週邊設備業,麗臺
372,372,2466,光電業,冠西電
373,373,2467,電子零組件業,志聖
374,374,2468,資訊服務業,華經
375,375,2471,資訊服務業,資通
376,376,2472,電子零組件業,立隆電
377,377,2474,其他電子業,可成
378,378,2476,電子零組件業,鉅祥
379,379,2477,其他電子業,美隆電
380,380,2478,電子零組件業,大毅
381,381,2480,資訊服務業,敦陽科
382,382,2481,半導體業,強茂
383,383,2482,其他電子業,連宇
384,384,2483,電子零組件業,百容
385,385,2484,電子零組件業,希華
386,386,2485,通信網路業,兆赫
387,387,2486,光電業,一詮
388,388,2488,其他電子業,漢平
389,389,2489,光電業,瑞軒
390,390,2491,光電業,吉祥全
391,391,2492,電子零組件業,華新科
392,392,2493,電子零組件業,揚博
393,393,2495,其他電子業,普安
394,394,2496,其他業,卓越
395,395,2497,汽車工業,怡利電
396,396,2498,通信網路業,宏達電
397,397,2501,建材營造業,國建
398,398,2504,建材營造業,國產
399,399,2505,建材營造業,國揚
400,400,2506,建材營造業,太設
401,401,2509,建材營造業,全坤建
402,402,2511,建材營造業,太子
403,403,2514,其他業,龍邦
404,404,2515,建材營造業,中工
405,405,2516,建材營造業,新建
406,406,2520,建材營造業,冠德
407,407,2524,建材營造業,京城
408,408,2527,建材營造業,宏璟
409,409,2528,建材營造業,皇普
410,410,2530,建材營造業,華建
411,411,2534,建材營造業,宏盛
412,412,2535,建材營造業,達欣工
413,413,2536,建材營造業,宏普
414,414,2537,建材營造業,聯上發
415,415,2538,建材營造業,基泰
416,416,2539,建材營造業,櫻花建
417,417,2540,建材營造業,愛山林
418,418,2542,建材營造業,興富發
419,419,2543,建材營造業,皇昌
420,420,2545,建材營造業,皇翔
421,421,2546,建材營造業,根基
422,422,2547,建材營造業,日勝生
423,423,2548,建材營造業,華固
424,424,2597,建材營造業,潤弘
425,425,2601,貿易百貨業,益航
426,426,2603,航運業,長榮
427,427,2605,航運業,新興
428,428,2606,航運業,裕民
429,429,2607,航運業,榮運
430,430,2608,航運業,嘉里大榮
431,431,2609,航運業,陽明
432,432,2610,航運業,華航
433,433,2611,航運業,志信
434,434,2612,航運業,中航
435,435,2613,航運業,中櫃
436,436,2614,貿易百貨業,東森
437,437,2615,航運業,萬海
438,438,2616,油電燃氣業,山隆
439,439,2617,航運業,台航
440,440,2618,航運業,長榮航
441,441,2630,航運業,亞航
442,442,2633,航運業,台灣高鐵
443,443,2634,航運業,漢翔
444,444,2636,航運業,台驊投控
445,445,2637,航運業,慧洋-KY
446,446,2642,航運業,宅配通
447,447,2701,觀光事業,萬企
448,448,2702,觀光事業,華園
449,449,2704,觀光事業,國賓
450,450,2705,觀光事業,六福
451,451,2706,觀光事業,第一店
452,452,2707,觀光事業,晶華
453,453,2712,觀光事業,遠雄來
454,454,2722,觀光事業,夏都
455,455,2723,觀光事業,美食-KY
456,456,2727,觀光事業,王品
457,457,2731,觀光事業,雄獅
458,458,2739,觀光事業,寒舍
459,459,2748,觀光事業,雲品
460,460,2801,金融保險業,彰銀
461,461,2809,金融保險業,京城銀
462,462,2812,金融保險業,台中銀
463,463,2816,金融保險業,旺旺保
464,464,2820,金融保險業,華票
465,465,2823,金融保險業,中壽
466,466,2832,金融保險業,台產
467,467,2834,金融保險業,臺企銀
468,468,2836,金融保險業,高雄銀
469,469,2838,金融保險業,聯邦銀
470,470,2841,建材營造業,台開
471,471,2845,金融保險業,遠東銀
472,472,2849,金融保險業,安泰銀
473,473,2850,金融保險業,新產
